Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link
data-scientist,Data Analyst Staff (Bali Jakarta Surabaya),PT Pantja Artha Niaga,Bali,https://id.jobstreet.com/id/job/92203412?type=standard&ref=search-standalone&origin=cardTitle#sol=36798f5466d0799c2ac3aff27b5f542113b284dc
data-scientist,Data Analyst (Retail Groceries),PT. LIPPO KARAWACI TBK,Tangerang,https://id.jobstreet.com/id/job/92181007?type=standard&ref=search-standalone&origin=cardTitle#sol=2f3f7af6535568492121d71cc786c940fc1afdff
data-scientist,Data Analyst,PT LANGGENG SUKSES ABADI TEKHNOLOGI,Jakarta Utara,https://id.jobstreet.com/id/job/92192535?type=standard&ref=search-standalone&origin=cardTitle#sol=2aac08f36836c9c0f4ef1aa8827fc9f7646fe0f6
data-scientist,DATA ANALYST,PT Karya Anugerah Jaya,Sidoarjo,https://id.jobstreet.com/id/job/91910613?type=standard&ref=search-standalone&origin=cardTitle#sol=3e280a27aae02715f546a5d52399f37bfba0b31c
data-scientist,Data Engineer (Contract 12 Months),"PT ZURICH ASURANSI INDONESIA, Tbk",Jakarta Selatan,https://id.jobstreet.com/id/job/91791657?type=standard&ref=search-standalone&origin=cardTitle#sol=b2ae5aa61c63b86170ee224c709e8fecfbf07460
data-scientist,Data Entry,PT Daya Karsa Abadi,Jakarta Raya,https://id.jobstreet.com/id/job/91992489?type=standard&ref=search-standalone&origin=cardTitle#sol=2019541be5288b8682f73e6401433a0f0d6a894e
data-scientist,AI Engineer,PT Digdaya Duta Digital,Setiabudi,https://id.jobstreet.com/id/job/91610319?type=standard&ref=search-standalone&origin=cardTitle#sol=6fc67b821374b018b6dd71e52e1a12f467aa17a3
data-scientist,SEO Analyst,OLX Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/91648938?type=standard&ref=search-standalone&origin=cardTitle#sol=f2a5bfef9132ebd71b893b65b42c0d52d2c6a3c0
data-scientist,Data Analyst,PT Nusantara Sakti Group (JAKARTA),Jakarta Barat,https://id.jobstreet.com/id/job/91783675?type=standard&ref=search-standalone&origin=cardTitle#sol=b82d6a1dc57372fb31a731f2c4128a53a82dc402
data-scientist,Presales - IT Server and Cloud,PT Network Data Sistem,Jakarta Selatan,https://id.jobstreet.com/id/job/91647812?type=standard&ref=search-standalone&origin=cardTitle#sol=9235ee26dc807053cf5fb9e35a1827e014e8bb22
data-scientist,Finance Data Analyst,PT Propan Raya Industrial Coating Chemicals,Tangerang,https://id.jobstreet.com/id/job/92165466?type=standard&ref=search-standalone&origin=cardTitle#sol=f6ba1355060a2d1eb12f1d6bc0a47d554ba0168b
data-scientist,Data Analyst Staff,PT Asuransi Umum Bumiputera Muda 1967,Jakarta Raya,https://id.jobstreet.com/id/job/91806673?type=standard&ref=search-standalone&origin=cardTitle#sol=954515de0b68fce972ca21dcfeec2c71ddbe7ef3
data-scientist,Data Implementor,PT Pratesis,Jakarta Selatan,https://id.jobstreet.com/id/job/91766204?type=standard&ref=search-standalone&origin=cardTitle#sol=f48c2c16cf09744324a8f150d0d3439f6c91149d
data-scientist,Full Stack Developer (Python),Engine Room Global Pte Ltd.,Jakarta Selatan,https://id.jobstreet.com/id/job/91842732?type=standard&ref=search-standalone&origin=cardTitle#sol=914601fc39b9779ddc3b121661cc4233d2295200
data-scientist,Business Analyst Intern,PT Upartners Sukses Bersama,Jakarta Barat,https://id.jobstreet.com/id/job/92166197?type=standard&ref=search-standalone&origin=cardTitle#sol=20a0f16d829c038ab3b979a077ad37f505848075
data-scientist,Admin Distribusi (Data Analis),PT Sentralsari Primasentosa,Gedangan,https://id.jobstreet.com/id/job/91937056?type=standard&ref=search-standalone&origin=cardTitle#sol=4220b7f3986abc9e96244ef160d0cc82a42b3c79
data-scientist,Asst Marketing Data & Insight Manager,Kawan Lama Group,Jakarta Raya,https://id.jobstreet.com/id/job/92211957?type=standard&ref=search-standalone&origin=cardTitle#sol=7a03d018d142a4600012d30ad3b3501157058153
data-scientist,Product Manager – Consumer Tech & E-Commerce Monetization,PT S D Indonesia (Streetdirectory),Jakarta Pusat,https://id.jobstreet.com/id/job/92217239?type=standard&ref=search-standalone&origin=cardTitle#sol=28477426ff4f1b835c204d3e3575fbe2c974a92f
data-scientist,Data Lead,PT Haju Medical Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92164597?type=standard&ref=search-standalone&origin=cardTitle#sol=b6fd0b63849b0587a0768b6802dd8267678becb0
data-scientist,Data Analyst,Pengiklan Anonim,Bandung,https://id.jobstreet.com/id/job/91924415?type=standard&ref=search-standalone&origin=cardTitle#sol=c475a75cfa6fb937f907a6118a51f4bd8986f5d5
data-scientist,Full-Stack Data Engineer (Fleet),PRIMA GROUP,Tangerang,https://id.jobstreet.com/id/job/91624812?type=standard&ref=search-standalone&origin=cardTitle#sol=8d4e7d9dee5feaa09a99f63b13ebc75ad5628e60
data-scientist,Mine Analyst,PT. Berkat Maritim Abadi,Barito Utara,https://id.jobstreet.com/id/job/91812397?type=standard&ref=search-standalone&origin=cardTitle#sol=4f36b659478ed74e0878e7af700e55f1e2dc4b59
data-scientist,Data Analyst,PT Rsystems Ibizcs International,Jakarta Utara,https://id.jobstreet.com/id/job/91725598?type=standard&ref=search-standalone&origin=cardTitle#sol=fb05177eb0d40d3995b4191a2f8bfeb38a412824
data-scientist,Database Administrator,PT Karisma Zona Kreatifku,Jakarta Raya,https://id.jobstreet.com/id/job/92092921?type=standard&ref=search-standalone&origin=cardTitle#sol=9371025e4973513e2c4ba2e4be3e4c4bfa9515a1
data-scientist,IT Manager (Enterprise Systems & Data),CV Unitech Indonesia,Jawa Timur,https://id.jobstreet.com/id/job/92052220?type=standard&ref=search-standalone&origin=cardTitle#sol=8d9b46f35fcfb113573499aac8c9002756afe8f2
data-scientist,Database Engineer,PT. Circleka Indonesia Utama,Jakarta Timur,https://id.jobstreet.com/id/job/92163059?type=standard&ref=search-standalone&origin=cardTitle#sol=536aa736b29c5888731ac2609c9e133a1b90bd09
data-scientist,Data Analyst Staff,Orang Tua Group,Jakarta Raya,https://id.jobstreet.com/id/job/92094201?type=standard&ref=search-standalone&origin=cardTitle#sol=49bc0d249e2744cc4be4f9bcf08233208722e19b
data-scientist,AI Engineer,AME Mineral Economics Pty Ltd,Jakarta Selatan,https://id.jobstreet.com/id/job/91724919?type=standard&ref=search-standalone&origin=cardTitle#sol=a657f0466b3ede245396107f504f4c3f5094aae0
data-scientist,Program Analyst – SQL & Reporting,PT AMC Bintan,Bintan,https://id.jobstreet.com/id/job/92203739?type=standard&ref=search-standalone&origin=cardTitle#sol=1550061fd0981ba3545c7a5ac3742fcb0aa4bbe5
data-scientist,Admin Operasional & Sistem,PT. Sinergi Innovate Pratama,Jakarta Selatan,https://id.jobstreet.com/id/job/91671820?type=standard&ref=search-standalone&origin=cardTitle#sol=2df8c67c436b2a96fcc9060829b0f9bd226a1405
data-scientist,Data Engineer (ETL),PT Lawencon Internasional,Jakarta Selatan,https://id.jobstreet.com/id/job/92180945?type=standard&ref=search-standalone&origin=cardTitle#sol=0d67047c41e8c94bf0b6db20275fd117395a77c8
data-scientist,Agronomy Data Analyst,PT. TIGADAUN KAPUAS,Jakarta Raya,https://id.jobstreet.com/id/job/91411303?type=standard&ref=search-standalone&origin=cardTitle#sol=917046f4c3060ca9a3d54cf3883d2a58ccd019bd
data-scientist,Data Engineer,PT Digdaya Duta Digital,Setiabudi,https://id.jobstreet.com/id/job/91610707?type=standard&ref=search-standalone&origin=cardTitle#sol=29542b3089f572174998042d5a668825f6fa5a7c
